id,clave,descripcion,descripcion_jde,alias,created_date,updated_date,created_by_id,updated_by_id,descripcion_ebs
1,00001,"SISTEMAS INTEGRALES COMPRESION","SISTEMAS INTEGRALES DE COMPRESION",NULL,"2017-05-09 14:32:48.571741","2017-06-13 15:48:51.292318",1,1,"SISTEMAS INTEGRALES DE COMPRESION"
2,00002,"PART TECHNICAL SERVICES","PART TECHNICAL SERVICES",NULL,"2017-05-09 14:48:58.825890","2017-06-13 15:54:02.610981",1,1,"PART TECHNICAL SERVICES"
3,00007,SINEA,"SINEA SA DE CV",NULL,"2017-05-09 14:53:43.213812","2017-06-13 15:55:29.973956",1,1,"SINEA SA DE CV"
4,00008,"RANCHO LA SUPREMA EXCELENCIA","RANCHO SUP EXCELENCIA SPR DE RL",NULL,"2017-05-09 14:52:03.870625","2017-06-13 15:59:45.368398",1,1,"RANCHO SUP EXCELENCIA SPR DE RL"
5,00010,"GRUPO EXSEN","GRUPO EXSEN SA DE CV",NULL,"2017-05-09 14:50:48.178382","2017-06-13 16:00:18.853060",1,1,"GRUPO EXSEN SA DE CV"
6,00012,TINGLO,"TINGLO SA DE CV",NULL,"2017-05-09 14:51:18.609473","2017-06-13 16:01:31.215655",1,1,TINGLO
7,00016,"H3A1 SA DE CV","H3A1 SA DE CV",NULL,"2017-05-09 14:53:13.275167","2017-06-13 16:03:09.173162",1,1,"H3A1 SA DE CV"
8,00018,"GEOLIS SA DE CV","GEOLIS SA DE CV",NULL,"2017-05-09 14:57:23.054004","2017-06-13 16:03:35.166853",1,1,"GEOLIS SA DE CV"
9,00019,"CONSORCIO PETROLERO 5M","CONSORCIO PETROLERO 5M SAPI DE CV",NULL,"2017-05-09 14:52:38.290939","2017-06-13 16:04:07.663402",1,1,"CONSORCIO PETROLERO 5M SAPI DE CV"
10,00020,"NUVOIL SA DE CV","NUVOIL SA DE CV",NULL,"2017-05-09 14:56:42.894407","2017-06-13 16:04:41.141003",1,1,"NUVOIL SA DE CV"
